 (nan+nanj)
 (nan+nanj)
 (7.022691279851197343e+00-0.000000000000000000e+00j)
 (7.200053312748318390e+00-0.000000000000000000e+00j)
 (7.156657331522495724e+00-0.000000000000000000e+00j)
 (7.185026552876790262e+00-0.000000000000000000e+00j)
 (7.305582473782603614e+00-0.000000000000000000e+00j)
 (6.959598985849560826e+00-0.000000000000000000e+00j)
 (7.063410157686202062e+00-0.000000000000000000e+00j)
 (7.010970804167214965e+00-0.000000000000000000e+00j)
 (7.459094021553225318e+00-0.000000000000000000e+00j)
 (7.477948645025117358e+00-0.000000000000000000e+00j)
 (7.529599295005557025e+00-0.000000000000000000e+00j)
 (7.584020155217212178e+00-0.000000000000000000e+00j)
 (7.474717959621042240e+00-0.000000000000000000e+00j)
 (7.218584837687119560e+00-0.000000000000000000e+00j)
 (7.702344995986089238e+00-0.000000000000000000e+00j)
 (7.694795627028916840e+00-0.000000000000000000e+00j)
 (7.879376758236683820e+00-0.000000000000000000e+00j)
 (7.845312851760926520e+00-0.000000000000000000e+00j)
 (7.736690482784605472e+00-0.000000000000000000e+00j)
 (7.548368624171397201e+00-0.000000000000000000e+00j)
 (7.712021914388611954e+00-0.000000000000000000e+00j)
 (7.854110102657630321e+00-0.000000000000000000e+00j)
 (7.847521663209256815e+00-0.000000000000000000e+00j)
 (7.758117070635274004e+00-0.000000000000000000e+00j)
 (7.583577284599087420e+00-0.000000000000000000e+00j)
 (7.770435239463393984e+00-0.000000000000000000e+00j)
 (7.930039542711815770e+00-0.000000000000000000e+00j)
 (7.798727860361283959e+00-0.000000000000000000e+00j)
 (7.614887399910017507e+00-0.000000000000000000e+00j)
 (7.929677182166459559e+00-0.000000000000000000e+00j)
 (7.842575030278368331e+00-0.000000000000000000e+00j)
 (7.667788246188138146e+00-0.000000000000000000e+00j)
 (7.680652144868375331e+00-0.000000000000000000e+00j)
 (7.110957301993294344e+00-0.000000000000000000e+00j)
 (7.081946392785760658e+00-0.000000000000000000e+00j)
 (7.352454242911361959e+00-0.000000000000000000e+00j)
 (7.649751614055976034e+00-0.000000000000000000e+00j)
 (7.742617440724204769e+00-0.000000000000000000e+00j)
 (7.873417221135947663e+00-0.000000000000000000e+00j)
 (7.847186195664544783e+00-0.000000000000000000e+00j)
 (7.773466133789096233e+00-0.000000000000000000e+00j)
 (7.579646976390914226e+00-0.000000000000000000e+00j)
 (7.273360726274507471e+00-0.000000000000000000e+00j)
 (7.650691087720334238e+00-0.000000000000000000e+00j)
 (7.820735029449826570e+00-0.000000000000000000e+00j)
 (7.779058080984972534e+00-0.000000000000000000e+00j)
 (7.683773344955602269e+00-0.000000000000000000e+00j)
 (7.880934998269289338e+00-0.000000000000000000e+00j)
 (7.965701265890710481e+00-0.000000000000000000e+00j)
 (7.969294065324667997e+00-0.000000000000000000e+00j)
 (8.052878042638885958e+00-0.000000000000000000e+00j)
 (8.095890387700643842e+00-0.000000000000000000e+00j)
 (8.067562248492986754e+00-0.000000000000000000e+00j)
 (8.025322595309148710e+00-0.000000000000000000e+00j)
 (8.087522803252060299e+00-0.000000000000000000e+00j)
 (8.154193907848821254e+00-0.000000000000000000e+00j)
 (8.136653812642659744e+00-0.000000000000000000e+00j)
 (8.085104807176167085e+00-0.000000000000000000e+00j)
 (8.131924350256229062e+00-0.000000000000000000e+00j)
 (8.143427358720547460e+00-0.000000000000000000e+00j)
 (7.973822720057308189e+00-0.000000000000000000e+00j)
